1.)CSS stands for ?,a)Cascade style sheets,b)Color and style sheets,c)Cascading style sheets,d)None of the above,3
2.)The property in CSS used to change the background color of an element is ?,a)bgcolor,b)color,c)background-color,d)All of the above,3
3.)The CSS property used to control the element's font-size is ?,a)text-style,b)text-size,c)font-size,d)None of the above,3
4.)Which of the following CSS property is used to set the background image of an element?,a)background-attachment,b)background-image,c)background-color,d)None of the above,2
5.)Which of the following is the correct syntax to make the background-color of all paragraph elements to yellow?,a)p {background-color : yellow;},b)p {background-color : #yellow;},c)all {background-color : yellow;},d)all p {background-color : #yellow;},1
6.)Which of the following is the correct syntax to display the hyperlinks without any underline?,a)a {text-decoration : underline;},b)a {decoration : no-underline;},c)a {text-decoration : none;},d)None of the above,3
7.)Which of the following property is used as the shorthand property for the padding properties?,a)padding-left,d)padding-right,c)padding,d)All of the above,3
8.)Are the negative values allowed in padding property?,a)Yes,b)No,c)Can't say,d)May be,2
9.)Which of the following property is used as the shorthand property of margin properties?,a)margin-left,b)margin-right,c)margin,d)None of the above,3
10.)Which of the following is the correct syntax to select all paragraph elements in a div element?,a)div p,b)p,c)div#p,d)div~p,1

